user_id,recommendations
69,"[{'name': 'Kimi ni Todoke', 'genre': 'Romance, School, Shoujo, Slice of Life'}, {'name': 'Summer Wars', 'genre': 'Comedy, Sci-Fi'}, {'name': 'Hajime no Ippo: New Challenger', 'genre': 'Comedy, Drama, Shounen, Sports'}, {'name': 'Fullmetal Alchemist: Brotherhood', 'genre': 'Action, Adventure, Drama, Fantasy, Magic, Military, Shounen'}, {'name': 'To LOVE-Ru Darkness', 'genre': 'Comedy, Ecchi, Harem, Romance, School, Sci-Fi, Shounen'}]"
122,"[{'name': 'Fullmetal Alchemist: The Sacred Star of Milos', 'genre': 'Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen'}, {'name': 'Shijou Saikyou no Deshi Kenichi', 'genre': 'Action, Comedy, Martial Arts, School, Shounen'}, {'name': 'Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation', 'genre': 'Action, Horror, Mystery, Psychological'}, {'name': 'Suzumiya Haruhi no Yuuutsu (2009)', 'genre': 'Comedy, Mystery, Parody, Romance, School, Sci-Fi, Slice of Life'}, {'name': 'Kaze no Tani no Nausicaä', 'genre': 'Adventure, Fantasy'}]"
185,"[{'name': 'Trigun', 'genre': 'Action, Comedy, Sci-Fi'}, {'name': 'Suzumiya Haruhi no Yuuutsu', 'genre': 'Comedy, Mystery, Parody, School, Sci-Fi, Slice of Life'}, {'name': 'Shijou Saikyou no Deshi Kenichi', 'genre': 'Action, Comedy, Martial Arts, School, Shounen'}, {'name': 'Log Horizon', 'genre': 'Action, Adventure, Fantasy, Game, Magic, Shounen'}, {'name': 'Fairy Tail', 'genre': 'Action, Adventure, Comedy, Fantasy, Magic, Shounen'}]"
371,"[{'name': 'Dragon Ball: Super Saiya-jin Zetsumetsu Keikaku', 'genre': 'Adventure, Fantasy, Martial Arts, Sci-Fi, Shounen, Super Power'}, {'name': 'Mobile Suit Gundam 00', 'genre': 'Action, Drama, Mecha, Military, Sci-Fi, Space'}, {'name': 'Dragon Ball Z Movie 10: Kiken na Futari! Super Senshi wa Nemurenai', 'genre': 'Action, Adventure, Comedy, Demons, Fantasy, Martial Arts, Shounen, Super Power'}, {'name': 'Dragon Ball: Ossu! Kaettekita Son Gokuu to Nakama-tachi!!', 'genre': 'Action, Adventure, Comedy, Fantasy'}, {'name': 'Guilty Crown', 'genre': 'Action, Drama, Sci-Fi, Super Power'}]"
517,"[{'name': 'Hajime no Ippo: New Challenger', 'genre': 'Comedy, Drama, Shounen, Sports'}, {'name': 'Log Horizon', 'genre': 'Action, Adventure, Fantasy, Game, Magic, Shounen'}, {'name': 'Hakuouki Hekketsuroku', 'genre': 'Action, Drama, Historical, Josei, Samurai, Supernatural'}, {'name': 'Kimi ni Todoke', 'genre': 'Romance, School, Shoujo, Slice of Life'}, {'name': 'Kuroko no Basket', 'genre': 'Comedy, School, Shounen, Sports'}]"
581,"[{'name': 'Nyan Koi!', 'genre': 'Comedy, Harem, Romance'}, {'name': 'To LOVE-Ru Darkness', 'genre': 'Comedy, Ecchi, Harem, Romance, School, Sci-Fi, Shounen'}, {'name': 'Haiyore! Nyaruko-san', 'genre': 'Comedy, Parody, Sci-Fi'}, {'name': 'Kuroko no Basket', 'genre': 'Comedy, School, Shounen, Sports'}, {'name': 'Guilty Crown', 'genre': 'Action, Drama, Sci-Fi, Super Power'}]"
654,"[{'name': 'Mononoke Hime', 'genre': 'Action, Adventure, Fantasy'}, {'name': 'Majo no Takkyuubin', 'genre': 'Adventure, Comedy, Drama, Fantasy, Magic, Romance'}, {'name': 'Toradora!', 'genre': 'Comedy, Romance, School, Slice of Life'}, {'name': 'Hakuouki Hekketsuroku', 'genre': 'Action, Drama, Historical, Josei, Samurai, Supernatural'}, {'name': 'Sen to Chihiro no Kamikakushi', 'genre': 'Adventure, Drama, Supernatural'}]"
767,"[{'name': 'Nyan Koi!', 'genre': 'Comedy, Harem, Romance'}, {'name': 'Zero no Tsukaima', 'genre': 'Action, Adventure, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School'}, {'name': 'Death Note', 'genre': 'Mystery, Police, Psychological, Supernatural, Thriller'}, {'name': 'Campione!: Matsurowanu Kamigami to Kamigoroshi no Maou', 'genre': 'Comedy, Ecchi, Fantasy, Harem, Magic, Romance'}, {'name': 'Haiyore! Nyaruko-san', 'genre': 'Comedy, Parody, Sci-Fi'}]"
1042,"[{'name': 'School Rumble', 'genre': 'Comedy, Romance, School, Shounen'}, {'name': 'School Rumble Ni Gakki', 'genre': 'Comedy, Romance, School, Shounen'}, {'name': 'Shijou Saikyou no Deshi Kenichi', 'genre': 'Action, Comedy, Martial Arts, School, Shounen'}, {'name': 'Toki wo Kakeru Shoujo', 'genre': 'Adventure, Drama, Romance, Sci-Fi'}, {'name': 'Baccano!', 'genre': 'Action, Comedy, Historical, Mystery, Seinen, Supernatural'}]"
1278,"[{'name': 'Cowboy Bebop', 'genre': 'Action, Adventure, Comedy, Drama, Sci-Fi, Space'}, {'name': 'Baccano!', 'genre': 'Action, Comedy, Historical, Mystery, Seinen, Supernatural'}, {'name': 'Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation', 'genre': 'Action, Horror, Mystery, Psychological'}, {'name': 'Kuroko no Basket 2nd Season', 'genre': 'Comedy, School, Shounen, Sports'}, {'name': 'Sukitte Ii na yo.', 'genre': 'Romance, School, Shoujo'}]"
