user_id,anime_id,rating,genre,type,genre_encoded,type_encoded
27973,9989,8,"Drama, Slice of Life, Supernatural",TV,855,5
50603,6007,7,"Fantasy, Historical, Romance",OVA,870,3
27254,2109,7,"Action, Adventure, Game, Mecha, School, Sci-Fi, Shounen",TV,93,5
53284,72,9,"Action, Comedy, School",TV,186,5
17373,8074,6,"Action, Ecchi, Horror, Supernatural",TV,265,5
25063,8408,10,"Action, Comedy, Supernatural",Special,201,4
64277,2993,8,"Comedy, Ecchi, Fantasy, Harem, Romance, School, Shounen, Vampire",TV,566,5
58073,1902,5,"Comedy, Fantasy",OVA,621,3
46063,71,8,"Action, Comedy, Mecha, Military, Sci-Fi",TV,173,5
59553,1575,10,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,324,5
54171,20,9,"Action, Comedy, Martial Arts, Shounen, Super Power",TV,170,5
2115,18045,8,"Drama, Romance, School",Special,830,4
14333,17729,6,"Drama, Harem, Psychological, Romance, School",TV,787,5
32708,30240,9,"Comedy, Ecchi, Romance, School, Seinen",TV,601,5
69020,19815,7,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,399,5
2458,9756,8,"Drama, Magic, Psychological, Thriller",TV,806,5
16830,13851,9,"Comedy, Ecchi, Harem, Romance, School, Sci-Fi, Shounen",OVA,580,3
50000,3515,8,"Action, Fantasy, Shounen, Super Power",OVA,287,3
7605,4898,9,"Action, Comedy, Demons, Fantasy, Historical, Shounen, Supernatural",TV,121,5
31202,9471,7,"Comedy, School, Super Power",OVA,735,3
57429,22199,8,"Action, Adventure, Fantasy",TV,73,5
59035,417,6,"Action, Fantasy, Magic",TV,277,5
529,9253,10,"Sci-Fi, Thriller",TV,957,5
9931,5958,8,"Comedy, Ecchi, Harem, Romance, Sci-Fi, Shounen, Supernatural",TV,586,5
67593,139,10,"Action, Adventure, Shounen, Super Power",OVA,111,3
20761,31240,7,"Drama, Fantasy, Psychological, Thriller",TV,776,5
51893,2237,7,"Comedy, Mystery",Special,678,4
50221,1998,7,"Adventure, Music, Police, Romance, Sci-Fi",Music,480,1
69849,268,8,"Adventure, Comedy, Ecchi",OVA,398,3
3476,1132,5,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",TV,8,5
28871,14227,8,"Comedy, Romance, School, Shoujo, Slice of Life",TV,703,5
47832,21743,8,"Action, Historical, Shoujo",TV,303,5
38664,3298,10,"Adventure, Comedy, Drama, Fantasy, Romance, Shoujo",TV,393,5
9120,22961,10,"Romance, Slice of Life",OVA,951,3
19890,9624,5,"Ecchi, Parody, Romance, Seinen",TV,861,5
2298,19511,7,"Action, Comedy, Martial Arts, Shounen, Super Power",Special,170,4
73362,4903,9,"Comedy, Ecchi, School, Seinen",TV,611,5
35669,23281,8,"Action, Police, Psychological, Sci-Fi",TV,358,5
21337,1887,8,"Comedy, Parody, School, Slice of Life",TV,693,5
72430,16498,7,"Action, Drama, Fantasy, Shounen, Super Power",TV,220,5
35406,22535,10,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,229,5
24438,21353,7,"Action, Comedy, Sci-Fi, Shounen, Super Power, Supernatural",TV,195,5
41448,15225,9,"Comedy, Harem, Romance, School, Seinen, Supernatural",TV,645,5
43521,26243,6,"Action, Drama, Shounen, Supernatural, Vampire",TV,256,5
52212,5355,6,"Action, Historical, Martial Arts, Samurai, Super Power",TV,297,5
52570,763,7,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,41,5
8115,12053,7,"Action, Psychological, Sci-Fi",Movie,359,0
33159,205,9,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,39,5
19602,14713,8,"Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural",TV,494,5
59325,94,8,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,236,5
14409,14349,9,"Adventure, Comedy, Fantasy, Magic, School",Movie,410,0
6467,1426,6,"Action, Adventure, Comedy, Shounen",TV,45,5
3627,13171,8,"Comedy, Supernatural",Movie,753,0
17274,3092,7,"Comedy, Drama, Romance, Shounen Ai",TV,544,5
24611,1840,7,"Action, Adventure, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School",TV,18,5
57516,1066,7,"Comedy, Parody",Special,687,4
68265,164,9,"Action, Adventure, Fantasy",Movie,73,0
70077,6573,9,"Action, Mystery, Sci-Fi, Super Power",TV,351,5
3378,4063,10,"Action, Comedy, Ecchi, Harem, Super Power",TV,141,5
27718,186,7,"Action, Cars, Drama, Seinen, Sports",TV,116,5
50877,1482,8,"Action, Adventure, Comedy, Shounen",TV,45,5
53356,450,6,"Adventure, Demons, Drama, Fantasy, Historical, Romance, Shounen, Supernatural",Movie,436,0
16137,272,8,"Action, Drama, Mystery",TV,245,5
11077,487,6,"Comedy, Ecchi, Fantasy, Harem, Romance, School",TV,564,5
11290,458,5,"Comedy, Ecchi, Magic, Sci-Fi, Seinen",OVA,596,3
17490,6325,5,"Action, Comedy, Martial Arts, Shounen, Super Power",Movie,170,0
56354,6325,6,"Action, Comedy, Martial Arts, Shounen, Super Power",Movie,170,0
352,3342,8,"Action, Horror, Sci-Fi, Shoujo Ai, Supernatural",TV,312,5
3469,10163,10,"Action, Mystery, Super Power, Thriller",TV,355,5
773,934,8,"Horror, Mystery, Psychological, Supernatural, Thriller",TV,903,5
