user_id,sim_user_1,sim_user_2,sim_user_3,sim_score_1,sim_score_2,sim_score_3,most_similar_users
69,654,581,122,0.9224,0.9105,0.8907,"654, 581, 122"
122,581,69,654,0.9682,0.8907,0.8876,"581, 69, 654"
185,654,1278,581,0.9493,0.9347,0.9168,"654, 1278, 581"
371,1042,1278,654,0.9658,0.9641,0.8861,"1042, 1278, 654"
517,654,1278,185,0.9661,0.9352,0.8904,"654, 1278, 185"
581,122,654,1042,0.9682,0.9259,0.9185,"122, 654, 1042"
654,517,185,1278,0.9661,0.9493,0.9362,"517, 185, 1278"
767,69,654,122,0.8798,0.8641,0.8575,"69, 654, 122"
1042,371,1278,581,0.9658,0.9204,0.9185,"371, 1278, 581"
1278,371,654,517,0.9641,0.9362,0.9352,"371, 654, 517"
